tax_id	taxonomy	type	name	kingdom
28216.0	root|cellular_organisms|Bacteria|Proteobacteria|Betaproteobacteria	class	Betaproteobacteria	Bacteria
1853228.0	root|cellular_organisms|Bacteria|FCB_group|Bacteroidetes/Chlorobi_group|Bacteroidetes|Chitinophagia	class	Chitinophagia	Bacteria
91061.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli	class	Bacilli	Bacteria
186801.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Clostridia	class	Clostridia	Bacteria
1760.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria|Actinobacteria	class	Actinobacteria	Bacteria
84998.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria|Coriobacteriia	class	Coriobacteriia	Bacteria
1737404.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Tissierellia	class	Tissierellia	Bacteria
31969.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Tenericutes|Mollicutes	class	Mollicutes	Bacteria
183925.0	root|cellular_organisms|Archaea|Euryarchaeota|Methanomada_group|Methanobacteria	class	Methanobacteria	Archaea
224756.0	root|cellular_organisms|Archaea|Euryarchaeota|Stenosarchaea_group|Methanomicrobia	class	Methanomicrobia	Archaea
183963.0	root|cellular_organisms|Archaea|Euryarchaeota|Stenosarchaea_group|Halobacteria	class	Halobacteria	Archaea
183924.0	root|cellular_organisms|Archaea|TACK_group|Crenarchaeota|Thermoprotei	class	Thermoprotei	Archaea
183967.0	root|cellular_organisms|Archaea|Euryarchaeota|Diaforarchaea_group|Thermoplasmata	class	Thermoplasmata	Archaea
188708.0	root|cellular_organisms|Bacteria|Thermotogae|Thermotogae	class	Thermotogae	Bacteria
649775.0	root|cellular_organisms|Bacteria|Synergistetes|Synergistia	class	Synergistia	Bacteria
38254.0	root|cellular_organisms|Eukaryota|Glaucocystophyceae	class	Glaucocystophyceae	Eukaryota
2806.0	root|cellular_organisms|Eukaryota|Rhodophyta|Florideophyceae	class	Florideophyceae	Eukaryota
2797.0	root|cellular_organisms|Eukaryota|Rhodophyta|Bangiophyceae	class	Bangiophyceae	Eukaryota
38410.0	root|cellular_organisms|Eukaryota|Stramenopiles|Raphidophyceae	class	Raphidophyceae	Eukaryota
2830.0	root|cellular_organisms|Eukaryota|Haptophyceae	class	Haptophyceae	Eukaryota
589449.0	root|cellular_organisms|Eukaryota|Stramenopiles|Bacillariophyta|Mediophyceae	class	Mediophyceae	Eukaryota
33849.0	root|cellular_organisms|Eukaryota|Stramenopiles|Bacillariophyta|Bacillariophyceae	class	Bacillariophyceae	Eukaryota
2870.0	root|cellular_organisms|Eukaryota|Stramenopiles|PX_clade|Phaeophyceae	class	Phaeophyceae	Eukaryota
2825.0	root|cellular_organisms|Eukaryota|Stramenopiles|Chrysophyceae	class	Chrysophyceae	Eukaryota
147553.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|Taphrinomycotina|Pneumocystidomycetes	class	Pneumocystidomycetes	Fungi
